,id,title,description,is_premium,solution_link,acceptance_rate,frequency,url,discuss_count,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,similar_questions
10,35,Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order.


Example 1:
Input: nums = [1,3,5,6], target = 5
Output: 2

Example 2:
Input: nums = [1,3,5,6], target = 2
Output: 1

Example 3:
Input: nums = [1,3,5,6], target = 7
Output: 4

Example 4:
Input: nums = [1,3,5,6], target = 0
Output: 0

Example 5:
Input: nums = [1], target = 0
Output: 0

Constraints:
`1 <= nums.length <= 104`
`-104 <= nums[i] <= 104`
`nums` contains distinct values sorted in ascending order.

`-104 <= target <= 104`",0,/articles/search-insert-position,42.9,21.2,https://leetcode.com/problems/search-insert-position,999,799.5K,1.9M,"Apple,Amazon","Array,Binary Search",3384,287,92,1,"[First Bad Version, /problems/first-bad-version/, Easy]"
11,53,Maximum Subarray,"Given an integer array `nums`, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum.


Example 1:
Input: nums = [-2,1,-3,4,-1,2,1,-5,4]
Output: 6
Explanation: [4,-1,2,1] has the largest sum = 6.


Example 2:
Input: nums = [1]
Output: 1

Example 3:
Input: nums = [5,4,-1,7,8]
Output: 23

Constraints:
`1 <= nums.length <= 3 * 104`
`-105 <= nums[i] <= 105`
Follow up: If you have figured out the `O(n)` solution, try coding another solution using the divide and conquer approach, which is more subtle.",0,/articles/maximum-subarray,47.9,80.2,https://leetcode.com/problems/maximum-subarray,999,1.4M,2.9M,"Microsoft,Amazon,Apple,LinkedIn,ByteDance,Google,Adobe,Cisco,Facebook,Oracle,Splunk,Bloomberg,Uber,Paypal,JPMorgan","Array,Divide and Conquer,Dynamic Programming",11458,551,95,1,"[Best Time to Buy and Sell Stock, /problems/best-time-to-buy-and-sell-stock/, Easy], [Maximum Product Subarray, /problems/maximum-product-subarray/, Medium], [Degree of an Array, /problems/degree-of-an-array/, Easy], [Longest Turbulent Subarray, /problems/longest-turbulent-subarray/, Medium], [Maximum Absolute Sum of Any Subarray, /problems/maximum-absolute-sum-of-any-subarray/, Medium], [Maximum Subarray Sum After One Operation, /problems/maximum-subarray-sum-after-one-operation/, Medium]"
12,58,Length of Last Word,"Given a string `s` consists of some words separated by spaces, return the length of the last word in the string. If the last word does not exist, return `0`.

A word is a maximal substring consisting of non-space characters only.


Example 1:
Input: s = ""Hello World""
Output: 5

Example 2:
Input: s = "" ""
Output: 0

Constraints:
`1 <= s.length <= 104`
`s` consists of only English letters and spaces `' '`.",0,/articles/length-of-last-word,33.5,12.5,https://leetcode.com/problems/length-of-last-word,999,490.7K,1.5M,"Google,Bloomberg",String,1041,3104,25,1,
13,66,Plus One,"Given a non-empty array of decimal digits representing a non-negative integer, increment one to the integer.

The digits are stored such that the most significant digit is at the head of the list, and each element in the array contains a single digit.

You may assume the integer does not contain any leading zero, except the number 0 itself.


Example 1:
Input: digits = [1,2,3]
Output: [1,2,4]
Explanation: The array represents the integer 123.


Example 2:
Input: digits = [4,3,2,1]
Output: [4,3,2,2]
Explanation: The array represents the integer 4321.


Example 3:
Input: digits = [0]
Output: [1]

Constraints:
`1 <= digits.length <= 100`
`0 <= digits[i] <= 9`",0,/articles/plus-one,42.2,36.8,https://leetcode.com/problems/plus-one,999,812K,1.9M,"ByteDance,Facebook,Adobe,Amazon,Spotify,Google",Array,2251,3130,42,1,"[Multiply Strings, /problems/multiply-strings/, Medium], [Add Binary, /problems/add-binary/, Easy], [Plus One Linked List, /problems/plus-one-linked-list/, Medium], [Add to Array-Form of Integer, /problems/add-to-array-form-of-integer/, Easy]"
14,67,Add Binary,"Given two binary strings `a` and `b`, return their sum as a binary string.


Example 1:
Input: a = ""11"", b = ""1""
Output: ""100""

Example 2:
Input: a = ""1010"", b = ""1011""
Output: ""10101""

Constraints:
`1 <= a.length, b.length <= 104`
`a` and `b` consist only of `'0'` or `'1'` characters.

Each string does not contain leading zeros except for the zero itself.",0,/articles/add-binary,47.3,65.5,https://leetcode.com/problems/add-binary,999,587.2K,1.2M,"Facebook,Amazon,ByteDance","Math,String",2668,337,89,1,"[Add Two Numbers, /problems/add-two-numbers/, Medium], [Multiply Strings, /problems/multiply-strings/, Medium], [Plus One, /problems/plus-one/, Easy], [Add to Array-Form of Integer, /problems/add-to-array-form-of-integer/, Easy]"
15,69,Sqrt(x),"Given a non-negative integer `x`, compute and return the square root of `x`.

Since the return type is an integer, the decimal digits are truncated, and only the integer part of the result is returned.


Example 1:
Input: x = 4
Output: 2

Example 2:
Input: x = 8
Output: 2
Explanation: The square root of 8 is 2.82842..., and since the decimal part is truncated, 2 is returned.


Constraints:
`0 <= x <= 231 - 1`",0,/articles/sqrtx,35.4,29.4,https://leetcode.com/problems/sqrtx,999,704.7K,2M,"Microsoft,Bloomberg,Amazon,Uber,LinkedIn,Google","Math,Binary Search",1910,2306,45,1,"[Pow(x, n), /problems/powx-n/, Medium], [Valid Perfect Square, /problems/valid-perfect-square/, Easy]"
16,70,Climbing Stairs,"You are climbing a staircase. It takes `n` steps to reach the top.

Each time you can either climb `1` or `2` steps. In how many distinct ways can you climb to the top?

Example 1:
Input: n = 2
Output: 2
Explanation: There are two ways to climb to the top.

1. 1 step + 1 step
2. 2 steps

Example 2:
Input: n = 3
Output: 3
Explanation: There are three ways to climb to the top.

1. 1 step + 1 step + 1 step
2. 1 step + 2 steps
3. 2 steps + 1 step

Constraints:
`1 <= n <= 45`",0,/articles/climbing-stairs,48.8,60.2,https://leetcode.com/problems/climbing-stairs,999,929.3K,1.9M,"Expedia,Amazon,Apple,Adobe,Goldman Sachs,Google,Nvidia,Intuit",Dynamic Programming,6294,200,97,1,"[Min Cost Climbing Stairs, /problems/min-cost-climbing-stairs/, Easy], [Fibonacci Number, /problems/fibonacci-number/, Easy], [N-th Tribonacci Number, /problems/n-th-tribonacci-number/, Easy]"
17,83,Remove Duplicates from Sorted List,"Given the `head` of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well.


Example 1:
Input: head = [1,1,2]
Output: [1,2]

Example 2:
Input: head = [1,1,2,3,3]
Output: [1,2,3]

Constraints:
The number of nodes in the list is in the range `[0, 300]`.

`-100 <= Node.val <= 100`
The list is guaranteed to be sorted in ascending order.",0,/articles/remove-duplicates-from-sorted-list,46.7,34.0,https://leetcode.com/problems/remove-duplicates-from-sorted-list,999,577.2K,1.2M,"Amazon,Adobe,Goldman Sachs,Qualcomm",Linked List,2416,144,94,1,"[Remove Duplicates from Sorted List II, /problems/remove-duplicates-from-sorted-list-ii/, Medium]"
18,88,Merge Sorted Array,"Given two sorted integer arrays `nums1` and `nums2`, merge `nums2` into `nums1` as one sorted array.

The number of elements initialized in `nums1` and `nums2` are `m` and `n` respectively. You may assume that `nums1` has a size equal to `m + n` such that it has enough space to hold additional elements from `nums2`.


Example 1:
Input: nums1 = [1,2,3,0,0,0], m = 3, nums2 = [2,5,6], n = 3
Output: [1,2,2,3,5,6]

Example 2:
Input: nums1 = [1], m = 1, nums2 = [], n = 0
Output: [1]

Constraints:
`nums1.length == m + n`
`nums2.length == n`
`0 <= m, n <= 200`
`1 <= m + n <= 200`
`-109 <= nums1[i], nums2[i] <= 109`",0,/articles/merge-sorted-arrays,40.9,70.4,https://leetcode.com/problems/merge-sorted-array,999,843K,2.1M,"Facebook,Microsoft,Amazon,Bloomberg,Walmart Labs,IBM,Oracle,Apple,LinkedIn,Goldman Sachs,Yandex,Wish","Array,Two Pointers",3612,5190,41,1,"[Merge Two Sorted Lists, /problems/merge-two-sorted-lists/, Easy], [Squares of a Sorted Array, /problems/squares-of-a-sorted-array/, Easy], [Interval List Intersections, /problems/interval-list-intersections/, Medium]"
19,100,Same Tree,"Given the roots of two binary trees `p` and `q`, write a function to check if they are the same or not.

Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.


Example 1:
Input: p = [1,2,3], q = [1,2,3]
Output: true

Example 2:
Input: p = [1,2], q = [1,null,2]
Output: false

Example 3:
Input: p = [1,2,1], q = [1,1,2]
Output: false

Constraints:
The number of nodes in both trees is in the range `[0, 100]`.

`-104 <= Node.val <= 104`",0,/articles/same-tree,54.2,26.8,https://leetcode.com/problems/same-tree,999,703.4K,1.3M,"Amazon,Google,Microsoft,Apple","Tree,Depth-first Search",3109,85,97,1,
20,101,Symmetric Tree,"Given the `root` of a binary tree, check whether it is a mirror of itself (i.e., symmetric around its center).


Example 1:
Input: root = [1,2,2,3,4,4,3]
Output: true

Example 2:
Input: root = [1,2,2,null,3,null,3]
Output: false

Constraints:
The number of nodes in the tree is in the range `[1, 1000]`.

`-100 <= Node.val <= 100`
Follow up: Could you solve it both recursively and iteratively?",0,/articles/symmetric-tree,48.4,53.7,https://leetcode.com/problems/symmetric-tree,999,861.4K,1.8M,"Capital One,Amazon,Yandex,Apple,Uber,Google,Microsoft","Tree,Depth-first Search,Breadth-first Search",5900,157,97,1,
21,104,Maximum Depth of Binary Tree,"Given the `root` of a binary tree, return its maximum depth.

A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node.


Example 1:
Input: root = [3,9,20,null,null,15,7]
Output: 3

Example 2:
Input: root = [1,null,2]
Output: 2

Example 3:
Input: root = []
Output: 0

Example 4:
Input: root = [0]
Output: 1

Constraints:
The number of nodes in the tree is in the range `[0, 104]`.

`-100 <= Node.val <= 100`",0,/articles/maximum-depth-of-binary-tree,68.3,31.2,https://leetcode.com/problems/maximum-depth-of-binary-tree,999,1.1M,1.6M,"LinkedIn,Amazon,Intel","Tree,Depth-first Search,Recursion",3779,95,98,1,"[Balanced Binary Tree, /problems/balanced-binary-tree/, Easy], [Minimum Depth of Binary Tree, /problems/minimum-depth-of-binary-tree/, Easy], [Maximum Depth of N-ary Tree, /problems/maximum-depth-of-n-ary-tree/, Easy], [Time Needed to Inform All Employees, /problems/time-needed-to-inform-all-employees/, Medium]"
22,108,Convert Sorted Array to Binary Search Tree,"Given an integer array `nums` where the elements are sorted in ascending order, convert it to a height-balanced binary search tree.

A height-balanced binary tree is a binary tree in which the depth of the two subtrees of every node never differs by more than one.


Example 1:
Input: nums = [-10,-3,0,5,9]
Output: [0,-3,9,-10,null,5]
Explanation: [0,-10,5,null,-3,null,9] is also accepted:

Example 2:
Input: nums = [1,3]
Output: [3,1]
Explanation: [1,3] and [3,1] are both a height-balanced BSTs.


Constraints:
`1 <= nums.length <= 104`
`-104 <= nums[i] <= 104`
`nums` is sorted in a strictly increasing order.",0,/articles/convert-sorted-array-to-bst,60.9,35.0,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,999,518K,851K,"Adobe,Google,Microsoft,Amazon,Apple,Facebook","Tree,Depth-first Search",3683,269,93,1,"[Convert Sorted List to Binary Search Tree, /problems/convert-sorted-list-to-binary-search-tree/, Medium]"
23,110,Balanced Binary Tree,"Given a binary tree, determine if it is height-balanced.

For this problem, a height-balanced binary tree is defined as:
a binary tree in which the left and right subtrees of every node differ in height by no more than 1.


Example 1:
Input: root = [3,9,20,null,null,15,7]
Output: true

Example 2:
Input: root = [1,2,2,3,3,null,null,4,4]
Output: false

Example 3:
Input: root = []
Output: true

Constraints:
The number of nodes in the tree is in the range `[0, 5000]`.

`-104 <= Node.val <= 104`",0,/articles/balanced-binary-tree,44.8,22.1,https://leetcode.com/problems/balanced-binary-tree,999,557.2K,1.2M,Amazon,"Tree,Depth-first Search,Recursion",3372,223,94,1,"[Maximum Depth of Binary Tree, /problems/maximum-depth-of-binary-tree/, Easy]"
24,111,Minimum Depth of Binary Tree,"Given a binary tree, find its minimum depth.

The minimum depth is the number of nodes along the shortest path from the root node down to the nearest leaf node.

Note: A leaf is a node with no children.


Example 1:
Input: root = [3,9,20,null,null,15,7]
Output: 2

Example 2:
Input: root = [2,null,3,null,4,null,5,null,6]
Output: 5

Constraints:
The number of nodes in the tree is in the range `[0, 105]`.

`-1000 <= Node.val <= 1000`",0,/articles/minimum-depth-of-binary-tree,39.8,20.3,https://leetcode.com/problems/minimum-depth-of-binary-tree,999,542.5K,1.4M,"Amazon,Facebook,Adobe","Tree,Depth-first Search,Breadth-first Search",2303,806,74,1,"[Binary Tree Level Order Traversal, /problems/binary-tree-level-order-traversal/, Medium], [Maximum Depth of Binary Tree, /problems/maximum-depth-of-binary-tree/, Easy]"
25,112,Path Sum,"Given the `root` of a binary tree and an integer `targetSum`, return `true` if the tree has a root-to-leaf path such that adding up all the values along the path equals `targetSum`.

A leaf is a node with no children.


Example 1:
Input: root = [5,4,8,11,null,13,4,7,2,null,null,null,1], targetSum = 22
Output: true

Example 2:
Input: root = [1,2,3], targetSum = 5
Output: false

Example 3:
Input: root = [1,2], targetSum = 0
Output: false

Constraints:
The number of nodes in the tree is in the range `[0, 5000]`.

`-1000 <= Node.val <= 1000`
`-1000 <= targetSum <= 1000`",0,/articles/path-sum,42.6,31.9,https://leetcode.com/problems/path-sum,999,600.5K,1.4M,"Facebook,Amazon,Microsoft,Apple,Oracle,ByteDance","Tree,Depth-first Search",3000,599,83,1,"[Path Sum II, /problems/path-sum-ii/, Medium], [Binary Tree Maximum Path Sum, /problems/binary-tree-maximum-path-sum/, Hard], [Sum Root to Leaf Numbers, /problems/sum-root-to-leaf-numbers/, Medium], [Path Sum III, /problems/path-sum-iii/, Medium], [Path Sum IV, /problems/path-sum-iv/, Medium]"
26,118,Pascal's Triangle,"Given an integer `numRows`, return the first numRows of Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it as shown:

Example 1:
Input: numRows = 5
Output: [[1],[1,1],[1,2,1],[1,3,3,1],[1,4,6,4,1]]

Example 2:
Input: numRows = 1
Output: [[1]]

Constraints:
`1 <= numRows <= 30`",0,/articles/pascals-triangle,55.4,46.3,https://leetcode.com/problems/pascals-triangle,999,477.4K,861.4K,"Google,Adobe,Apple,Amazon,Goldman Sachs,Samsung",Array,2364,130,95,1,"[Pascal's Triangle II, /problems/pascals-triangle-ii/, Easy]"
27,119,Pascal's Triangle II,"Given an integer `rowIndex`, return the `rowIndexth` (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it as shown:

Example 1:
Input: rowIndex = 3
Output: [1,3,3,1]

Example 2:
Input: rowIndex = 0
Output: [1]

Example 3:
Input: rowIndex = 1
Output: [1,1]

Constraints:
`0 <= rowIndex <= 33`
Follow up: Could you optimize your algorithm to use only `O(rowIndex)` extra space?",0,/articles/pascals-triangle-ii,52.5,6.2,https://leetcode.com/problems/pascals-triangle-ii,999,365K,695K,"Microsoft,Google,Amazon",Array,1302,222,85,1,"[Pascal's Triangle, /problems/pascals-triangle/, Easy]"
